0,4120,APROBADO
1,247,APROBADO
2,2085,SUBSANADO
3,913,SUBSANADO
4,6878,SUBSANADO
5,9416,SUBSANADO
6,3913,DESESTIMADO
7,3266,EVALUADO
8,9445,PENDIENTE
9,7013,VENCIDO
10,7489,DESESTIMADO
11,1097,EVALUADO
12,280,SUBSANADO
13,1367,DESESTIMADO
14,2419,SUBSANADO
15,1727,DESESTIMADO
16,3311,DESESTIMADO
17,4878,SUBSANADO
18,5764,PENDIENTE
19,4223,SUBSANADO
20,1445,APROBADO
21,2534,DESESTIMADO
22,1337,EVALUADO
23,2807,VENCIDO
24,5100,VENCIDO
25,9763,APROBADO
26,4029,PENDIENTE
27,9615,DESESTIMADO
28,4594,PENDIENTE
29,3751,DESESTIMADO
30,606,EVALUADO
31,1848,APROBADO
32,2936,PENDIENTE
33,8384,VENCIDO
34,7413,PENDIENTE
35,6585,DESESTIMADO
36,996,APROBADO
37,1054,APROBADO
38,4916,VENCIDO
39,8530,SUBSANADO
40,5633,DESESTIMADO
41,3103,EVALUADO
42,2439,APROBADO
43,8254,SUBSANADO
44,1075,PENDIENTE
45,4579,DESESTIMADO
46,8407,PENDIENTE
47,5358,PENDIENTE
48,7855,PENDIENTE
49,2315,SUBSANADO
50,3170,EVALUADO
51,3315,PENDIENTE
52,9120,DESESTIMADO
53,9675,SUBSANADO
54,6671,APROBADO
55,5504,SUBSANADO
56,3001,SUBSANADO
57,2836,SUBSANADO
58,7936,VENCIDO
59,89,VENCIDO
60,856,DESESTIMADO
61,2670,PENDIENTE
62,9616,DESESTIMADO
63,9885,DESESTIMADO
64,7161,SUBSANADO
65,6707,VENCIDO
66,3600,VENCIDO
67,2123,EVALUADO
68,1310,VENCIDO
69,8342,DESESTIMADO
70,7201,SUBSANADO
71,1235,PENDIENTE
72,6311,SUBSANADO
73,9181,EVALUADO
74,3992,SUBSANADO
75,5515,VENCIDO
76,9220,DESESTIMADO
77,5628,APROBADO
78,5922,SUBSANADO
79,6213,DESESTIMADO
80,6503,SUBSANADO
81,8411,PENDIENTE
82,1796,DESESTIMADO
83,5319,APROBADO
84,6396,DESESTIMADO
85,7217,SUBSANADO
86,8781,SUBSANADO
87,5224,PENDIENTE
88,2856,SUBSANADO
89,4665,DESESTIMADO
90,8264,SUBSANADO
91,7286,VENCIDO
92,5317,APROBADO
93,8910,EVALUADO
94,2967,EVALUADO
95,7776,SUBSANADO
96,7986,DESESTIMADO
97,3854,PENDIENTE
98,1209,PENDIENTE
99,2903,PENDIENTE
100,5630,SUBSANADO
101,9224,DESESTIMADO
102,6514,PENDIENTE
103,90,EVALUADO
104,7144,SUBSANADO
105,3057,EVALUADO
106,6188,EVALUADO
107,6045,PENDIENTE
108,6466,SUBSANADO
109,6034,DESESTIMADO
110,1202,EVALUADO
111,7176,SUBSANADO
112,2068,APROBADO
113,9790,PENDIENTE
114,2788,SUBSANADO
115,8747,SUBSANADO
116,3432,PENDIENTE
117,2637,DESESTIMADO
118,3302,DESESTIMADO
119,5967,SUBSANADO
120,6868,EVALUADO
121,610,DESESTIMADO
122,3842,EVALUADO
123,248,APROBADO
124,690,DESESTIMADO
125,1548,EVALUADO
126,2381,DESESTIMADO
127,11,APROBADO
128,2530,APROBADO
129,7872,EVALUADO
130,6602,SUBSANADO
131,643,PENDIENTE
132,886,PENDIENTE
133,465,VENCIDO
134,4957,PENDIENTE
135,4949,PENDIENTE
136,8153,PENDIENTE
137,8009,VENCIDO
138,2918,EVALUADO
139,4682,EVALUADO
140,4817,EVALUADO
141,8404,EVALUADO
142,219,DESESTIMADO
143,8187,EVALUADO
144,1704,VENCIDO
145,9776,EVALUADO
146,8656,PENDIENTE
147,3734,APROBADO
148,338,DESESTIMADO
149,6251,PENDIENTE
150,7337,VENCIDO
151,146,DESESTIMADO
152,3957,APROBADO
153,9436,APROBADO
154,4995,PENDIENTE
155,1622,APROBADO
156,4154,EVALUADO
157,6798,EVALUADO
158,9674,PENDIENTE
159,6042,VENCIDO
160,8929,PENDIENTE
161,5253,VENCIDO
162,9672,VENCIDO
163,560,APROBADO
164,4641,VENCIDO
165,5382,PENDIENTE
166,9110,EVALUADO
167,9994,APROBADO
168,2606,DESESTIMADO
169,3564,APROBADO
170,3317,SUBSANADO
171,8108,EVALUADO
172,6108,PENDIENTE
173,405,EVALUADO
174,2794,APROBADO
175,6112,EVALUADO
176,2806,APROBADO
177,7421,EVALUADO
178,5736,VENCIDO
179,3783,EVALUADO
180,7940,SUBSANADO
181,7820,SUBSANADO
182,9320,PENDIENTE
183,5523,EVALUADO
184,9537,VENCIDO
185,1720,SUBSANADO
186,8429,PENDIENTE
187,8243,DESESTIMADO
188,7737,DESESTIMADO
189,7852,VENCIDO
190,603,APROBADO
191,5396,SUBSANADO
192,339,EVALUADO
193,857,DESESTIMADO
194,2950,SUBSANADO
195,3693,APROBADO
196,9025,EVALUADO
197,6651,APROBADO
198,3332,VENCIDO
199,1597,EVALUADO
200,4509,PENDIENTE
201,6281,DESESTIMADO
202,9221,VENCIDO
203,6203,PENDIENTE
204,3509,EVALUADO
205,2585,DESESTIMADO
206,3082,SUBSANADO
207,8579,SUBSANADO
208,5524,APROBADO
209,4845,APROBADO
210,5547,DESESTIMADO
211,6940,SUBSANADO
212,8454,VENCIDO
213,7849,SUBSANADO
214,1356,VENCIDO
215,7787,PENDIENTE
216,1322,EVALUADO
217,9599,DESESTIMADO
218,2023,APROBADO
219,2614,SUBSANADO
220,5925,SUBSANADO
